eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
210.67,6.93,228.62,8.44,1376,0.014388681,0.19049072,2.0595891,-0.017995557,0.2519233,0.8356262743473053,101,25856,1202.0684132699998,1654784
221.75,8.27,218.96,6.63,1370,0.011080663,0.14644368,2.0365865,-0.014816977,0.3060178,0.8393040150403976,102,26112,1214.0213478979995,1671168
216.5,7.44,242.74,8.6,1374,0.014183898,0.17588298,2.0511496,-0.019065645,0.31192747,0.8191204816102982,103,26368,1225.9386389029996,1687552
218.98,6.25,248.16,9.04,1378,0.017327592,0.21142578,2.029825,-0.01697609,0.29178455,0.819395124912262,104,26624,1237.824408292,1703936
222.58,5.44,249.47,9.31,1393,0.01687949,0.20676677,2.045908,-0.014739889,0.3074748,0.8183649629354477,105,26880,1249.5828517179998,1720320
233.46,7.02,241.54,8.86,1385,0.011445579,0.14562988,2.021497,-0.01758757,0.31799737,0.8207358866930008,106,27136,1261.4091548269998,1736704
238.46,8.61,255.47,9.85,1378,0.012453866,0.15539551,1.9897901,-0.017817283,0.31703293,0.8522203415632248,107,27392,1273.2987025579996,1753088
227.26,7.18,262.92,10.35,1367,0.02053451,0.22768147,2.02722,-0.016306654,0.27120027,0.7889340221881866,108,27648,1285.283931088,1769472
226.65,6.29,251.89,9.44,1383,0.01825671,0.2230835,1.9823399,-0.016386721,0.36220983,0.8184841275215149,109,27904,1297.129402648,1785856
266.56,9.87,264.57,11.24,1375,0.014505359,0.19297282,1.9839115,-0.01343453,0.37306097,0.8365465700626373,110,28160,1309.0418325949995,1802240
260.08,9.08,269.84,11.77,1373,0.016836155,0.19972737,1.968156,-0.021075917,0.2575542,0.8249871581792831,111,28416,1320.9692340860001,1818624
245.57,8.42,238.91,9.63,1401,0.015360966,0.19128418,1.9624281,-0.016245782,0.38115707,0.8081909418106079,112,28672,1332.660841207,1835008
237.03,8.76,237.37,7.61,1392,0.015895028,0.1919759,1.940772,-0.019018954,0.35029483,0.8353388905525208,113,28928,1344.4279372760002,1851392
262.07,10.41,245.46,8.73,1382,0.014652587,0.18811035,2.0002167,-0.014926284,0.3657088,0.8429156243801117,114,29184,1356.2772944050002,1867776
246.71,9.31,250.41,9.81,1389,0.013915132,0.18446858,1.937819,-0.015341286,0.3476272,0.8556019365787506,115,29440,1368.0714353269996,1884160
260.79,9.84,256.39,10.79,1360,0.018172605,0.2154948,1.9756532,-0.020218423,0.34819373,0.8410885185003281,116,29696,1380.112467504,1900544
272.86,9.32,264.77,9.81,1397,0.013915832,0.17604573,1.9970412,-0.016359843,0.38451758,0.8249181360006332,117,29952,1391.839187079,1916928
