eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
121.11,1.85,117.81,2.54,943,0.015140689,0.1852824,2.2167065,-0.023246832,0.11566895,0.5736538767814636,100,25600,1698.2821512830014,1638400
127.7,2.01,132.94,3.16,920,0.017788276,0.21329753,2.194339,-0.022892976,0.17116003,0.4731866121292114,101,25856,1716.0849275010005,1654784
136.38,2.34,111.84,2.22,969,0.013435581,0.17787679,2.1805356,-0.02577923,0.12333272,0.6196707189083099,102,26112,1732.989337598001,1671168
124.22,2.65,139.77,3.06,941,0.01876423,0.21740723,2.1403284,-0.025431864,0.14115803,0.5466418266296387,103,26368,1750.3840262900012,1687552
144.5,3.31,124.48,2.41,963,0.020131027,0.23828125,2.1652188,-0.018800085,0.15070613,0.5266785621643066,104,26624,1767.386289614,1703936
148.27,3.64,146.93,2.98,943,0.016375646,0.20562744,2.1688375,-0.019958204,0.17922719,0.48867708444595337,105,26880,1784.7522801710002,1720320
145.58,3.91,142.24,3.22,968,0.01608389,0.20562744,2.1975749,-0.014204267,0.20220147,0.4778592586517334,106,27136,1801.673229254,1736704
152.37,3.69,136.02,3.24,929,0.012524814,0.162028,2.2016294,-0.01874348,0.19675799,0.49448490142822266,107,27392,1819.3091218300015,1753088
149.48,3.69,142.5,3.8,953,0.016537208,0.2076416,2.2022212,-0.017714262,0.2173255,0.4895063042640686,108,27648,1836.50286538,1769472
150.99,3.43,138.35,3.05,928,0.017820297,0.2242635,2.1958833,-0.015249665,0.19369532,0.520772784948349,109,27904,1854.145090524,1785856
146.13,3.0,142.46,3.21,966,0.01776654,0.2189738,2.2163806,-0.01819337,0.14973807,0.5980940163135529,110,28160,1871.0952379050013,1802240
158.63,3.88,167.48,4.13,975,0.011657325,0.15429688,2.2418714,-0.017651903,0.21804784,0.5865407586097717,111,28416,1887.8874164410008,1818624
154.03,3.25,154.47,4.2,934,0.014089961,0.18100993,2.2291424,-0.02470542,0.18603341,0.5667454600334167,112,28672,1905.414420571,1835008
155.71,3.41,132.5,2.54,956,0.016311476,0.20218913,2.2196934,-0.018976137,0.16577138,0.6222388446331024,113,28928,1922.5506875230003,1851392
152.68,3.54,149.5,2.96,940,0.01646556,0.2004598,2.185539,-0.02306965,0.16841416,0.6554780304431915,114,29184,1939.9751888320006,1867776
135.47,3.06,134.59,3.69,968,0.014540507,0.18174236,2.2099288,-0.02478869,0.18126865,0.6267547309398651,115,29440,1956.894409826,1884160
186.36,5.83,142.9,4.28,929,0.014192934,0.17565918,2.1864908,-0.015476458,0.29841548,0.6588716506958008,116,29696,1974.519245726,1900544
175.51,4.46,154.53,4.17,965,0.012056389,0.14876302,2.1543987,-0.015752511,0.23177105,0.6792390942573547,117,29952,1991.492390386,1916928
180.02,5.56,166.06,5.64,948,0.012719038,0.15875244,2.1418908,-0.01768976,0.26498738,0.7056797444820404,118,30208,2008.7687325030001,1933312
186.7,5.55,153.45,4.08,982,0.015261619,0.18070476,2.1294913,-0.018113283,0.24976848,0.7509428709745407,119,30464,2025.4510778120002,1949696
186.95,4.76,144.93,3.81,941,0.015895026,0.18585205,2.18969,-0.025020465,0.18115032,0.751520425081253,120,30720,2042.8535825460003,1966080
196.73,6.46,161.18,3.51,985,0.015401452,0.19150798,2.142339,-0.018180737,0.23857321,0.753278836607933,121,30976,2059.4801276630005,1982464
195.49,4.76,169.41,4.92,991,0.01428135,0.17419434,2.167157,-0.02281639,0.23082297,0.7006979882717133,122,31232,2076.0015191990005,1998848
203.08,5.53,189.54,6.47,1006,0.017013986,0.1893514,2.163158,-0.024805,0.19694562,0.7226157784461975,123,31488,2092.2820309770013,2015232
196.49,4.72,192.7,4.9,966,0.0136692,0.16992188,2.1764426,-0.02157203,0.19659656,0.7510019838809967,124,31744,2109.242838954,2031616
207.14,6.06,179.07,3.96,992,0.014184258,0.17126465,2.1114404,-0.01870563,0.23876788,0.7744773924350739,125,32000,2125.7869373170015,2048000
199.95,6.52,212.65,6.48,949,0.012923495,0.16394043,2.1178772,-0.019967245,0.22283757,0.7878147065639496,126,32256,2143.0401247520003,2064384
228.23,7.86,179.7,5.4,963,0.016790694,0.19419353,2.1716344,-0.019889222,0.2638621,0.7552316188812256,127,32512,2160.0485776160003,2080768
200.23,6.41,181.39,5.3,936,0.016690636,0.18967693,2.1098354,-0.020863647,0.24372266,0.7984131276607513,128,32768,2177.5464377450007,2097152
215.99,7.75,206.53,6.5,979,0.015861275,0.19573975,2.0780978,-0.012475216,0.3005729,0.7871411889791489,129,33024,2194.2714015990005,2113536
208.28,6.98,176.34,5.46,978,0.01974835,0.21248372,2.09035,-0.010096985,0.2781575,0.8080094158649445,130,33280,2211.021204001001,2129920
188.3,6.16,169.96,4.92,974,0.019420551,0.21152751,2.098584,-0.01477195,0.26702058,0.8049117922782898,131,33536,2227.8418544610013,2146304
188.19,5.54,175.72,4.7,975,0.013182553,0.16845703,2.1502001,-0.0209931,0.2004094,0.8323397487401962,132,33792,2244.6467779840004,2162688
191.86,4.74,195.54,7.09,945,0.018488275,0.20292155,2.0731328,-0.019367835,0.21930975,0.8166474252939224,133,34048,2261.977232327001,2179072
229.45,8.11,183.43,5.32,981,0.015966486,0.19002278,2.0731418,-0.017902521,0.26142302,0.799170047044754,134,34304,2278.668524285,2195456
237.84,8.9,169.84,4.64,999,0.01232741,0.1525472,2.0359933,-0.01713009,0.28744593,0.8185902684926987,135,34560,2295.056445884,2211840
229.71,8.89,168.02,4.73,992,0.013480091,0.15999348,2.0538788,-0.01806043,0.2607844,0.8054846674203873,136,34816,2311.5586467150006,2228224
227.76,7.8,210.89,6.58,964,0.014039355,0.16670735,2.078632,-0.021123601,0.29820052,0.7850732952356339,137,35072,2328.5411409360004,2244608
230.19,9.02,216.2,7.39,995,0.015616194,0.18123372,2.0583487,-0.019806543,0.27114803,0.8323289602994919,138,35328,2345.002410307001,2260992
219.45,8.29,182.36,5.53,991,0.014205854,0.18039958,2.079471,-0.013353962,0.3055561,0.8291590660810471,139,35584,2361.531630501,2277376
214.16,7.22,207.62,6.29,983,0.010734831,0.13437907,2.0861824,-0.017095434,0.29048836,0.8102723807096481,140,35840,2378.1996936940013,2293760
