eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
159.37,3.37,77.15,-1.45,594,0.013043087,0.17338054,2.2098289,-0.01905757,0.13990237,0.629166454076767,91,23296,2580.4452196700004,1490944
187.95,4.54,75.96,-1.05,566,0.011162248,0.14571126,2.1753752,-0.010383376,0.2013582,0.6415794491767883,92,23552,2609.356124819,1507328
174.58,5.36,79.65,-1.18,601,0.011951477,0.15124512,2.2058563,-0.010028909,0.20482188,0.6270582377910614,93,23808,2636.5972240400006,1523712
187.68,5.04,73.64,-1.84,572,0.011941724,0.1573283,2.2127137,-0.016090086,0.1935054,0.6393382251262665,94,24064,2665.1939661390006,1540096
143.94,3.26,77.94,-1.16,599,0.015897691,0.20505778,2.222391,-0.01998078,0.13825482,0.6808196604251862,95,24320,2692.5245841020005,1556480
164.63,4.55,72.46,-1.67,571,0.012322009,0.1644694,2.2182899,-0.010805186,0.20133561,0.6531263887882233,96,24576,2721.188828868,1572864
170.78,4.09,76.86,-1.84,590,0.011018567,0.14467366,2.2325454,-0.013270435,0.15005682,0.7275123596191406,97,24832,2748.915869654,1589248
167.61,5.2,77.4,-1.41,575,0.013335503,0.16766357,2.204066,-0.016585061,0.16321912,0.7544787973165512,98,25088,2777.4107103820006,1605632
188.44,6.43,74.56,-1.95,593,0.01540954,0.18208821,2.1937325,-0.014492627,0.22678988,0.7222223579883575,99,25344,2805.028533152001,1622016
173.16,4.71,74.05,-1.72,560,0.015720872,0.18522136,2.2116797,-0.013132396,0.19470298,0.7391866147518158,100,25600,2834.2678289819996,1638400
187.17,5.06,74.56,-1.52,586,0.013132202,0.1694336,2.1631513,-0.017974079,0.20301755,0.7804429084062576,101,25856,2862.2040671560007,1654784
167.25,4.15,74.53,-1.61,564,0.012740358,0.1681722,2.1967037,-0.01993527,0.16300593,0.7322164475917816,102,26112,2891.251125044,1671168
191.75,6.65,75.96,-1.78,587,0.0154847065,0.18884277,2.1826775,-0.011632803,0.252112,0.7780224829912186,103,26368,2919.129639527,1687552
181.36,4.87,73.51,-1.75,570,0.01312853,0.15989177,2.2042663,-0.010082559,0.20205118,0.7745514810085297,104,26624,2947.8630415259995,1703936
201.94,6.43,76.29,-1.34,586,0.010258113,0.13043213,2.1923645,-0.015810654,0.21596922,0.7796199321746826,105,26880,2975.820842815001,1720320
195.44,6.39,79.27,-1.49,570,0.01069937,0.13734944,2.1859725,-0.010741669,0.25572065,0.7975128889083862,106,27136,3004.544747158001,1736704
190.08,6.56,78.69,-1.13,586,0.013446099,0.17329915,2.170241,-0.013885316,0.23516762,0.7983523458242416,107,27392,3032.4602077849995,1753088
208.45,5.45,76.92,-0.86,560,0.015103958,0.17360432,2.1811981,-0.015684523,0.26818314,0.7580843716859818,108,27648,3061.6789765520007,1769472
189.92,4.75,78.81,-1.49,592,0.013960979,0.17930095,2.225051,-0.018146124,0.19093047,0.7984851896762848,109,27904,3089.3545866900004,1785856
215.42,6.51,78.53,-1.4,567,0.012883344,0.15917969,2.1531694,-0.008737724,0.30952367,0.8423812836408615,110,28160,3118.2348490660006,1802240
182.08,5.51,76.07,-1.81,581,0.0097706495,0.11747233,2.2280505,-0.01564875,0.19269812,0.835747092962265,111,28416,3146.423064226001,1818624
218.7,6.08,79.54,-1.77,565,0.012926529,0.13730876,2.2175052,-0.014824034,0.25095227,0.8042764216661453,112,28672,3175.4117739190006,1835008
220.55,7.24,75.59,-1.76,589,0.009934388,0.12434896,2.187564,-0.010992673,0.31199732,0.8211532384157181,113,28928,3203.203903185,1851392
218.16,7.96,74.79,-1.29,567,0.008741956,0.10367838,2.220517,-0.013293763,0.24839915,0.8347556442022324,114,29184,3232.071365439,1867776
220.23,7.87,76.84,-1.6,589,0.010832963,0.13519287,2.1610568,-0.012854893,0.3618689,0.8137751817703247,115,29440,3259.881724387,1884160
216.35,7.19,78.03,-1.64,571,0.012026033,0.1437378,2.1934137,-0.01755509,0.30518427,0.8252600431442261,116,29696,3288.5707811329994,1900544
216.39,7.41,83.18,-1.31,586,0.012911789,0.1687622,2.1473594,-0.01518608,0.29486337,0.8200387954711914,117,29952,3316.509051950001,1916928
218.55,7.84,76.56,-1.3,571,0.012977096,0.1562907,2.1636837,-0.016857805,0.23355334,0.7938114553689957,118,30208,3345.1806256140007,1933312
247.46,8.43,76.64,-1.75,595,0.011159353,0.1394043,2.1395652,-0.012106405,0.35210893,0.8187139928340912,119,30464,3372.679806761,1949696
256.05,10.26,74.86,-2.22,567,0.010711331,0.1328532,2.1399179,-0.01648032,0.27436677,0.8508084863424301,120,30720,3401.5279950629993,1966080
263.18,10.98,74.78,-1.49,594,0.010520554,0.13743083,2.1227016,-0.014493947,0.3192878,0.8525821417570114,121,30976,3429.1039919329996,1982464
258.17,11.0,76.03,-1.7,567,0.0127872275,0.15519206,2.1297784,-0.014172922,0.27262482,0.8393454998731613,122,31232,3457.9623323729993,1998848
235.87,8.97,79.52,-1.83,586,0.009947861,0.12322998,2.1315763,-0.01583196,0.307748,0.8168903887271881,123,31488,3485.910345503,2015232
259.0,11.97,74.23,-1.79,570,0.011822096,0.15211995,2.122803,-0.008900519,0.37882856,0.8272601664066315,124,31744,3514.6119670089993,2031616
255.11,11.87,73.43,-1.73,585,0.009959803,0.12375895,2.089172,-0.011006831,0.37435722,0.8665116131305695,125,32000,3542.647962899,2048000
265.78,11.7,76.46,-1.86,562,0.015743995,0.18572998,2.1162689,-0.008783163,0.42770138,0.8020964562892914,126,32256,3571.766689266,2064384
266.84,9.99,78.81,-2.75,590,0.010777147,0.13496907,2.148472,-0.017285809,0.31895944,0.789132297039032,127,32512,3599.5285663230006,2080768
271.54,10.25,77.27,-1.55,570,0.011582427,0.14687093,2.0996287,-0.013121996,0.3902892,0.82859006524086,128,32768,3628.2592090510007,2097152
246.33,8.71,75.06,-1.76,589,0.014013454,0.1778361,2.1214552,-0.016548065,0.30691138,0.8028332889080048,129,33024,3656.0716101470007,2113536
254.87,9.1,75.65,-2.17,573,0.013043031,0.16084798,2.0861447,-0.010135767,0.36711964,0.8226280212402344,130,33280,3684.6451759150004,2129920
254.13,9.7,79.3,-1.6,583,0.0111386515,0.14461263,2.1209753,-0.015307568,0.30978188,0.8382482081651688,131,33536,3712.7216103789997,2146304
268.45,10.54,72.09,-1.47,564,0.009195483,0.11875407,2.1842268,-0.016438104,0.2925143,0.8186433464288712,132,33792,3741.7624535779996,2162688
261.98,10.19,75.51,-1.22,588,0.014582571,0.18119304,2.175244,-0.013094183,0.27569726,0.8555958718061447,133,34048,3769.6093010940003,2179072
270.92,10.28,75.63,-1.32,563,0.011386315,0.13690186,2.1550217,-0.0167752,0.35262573,0.8214375823736191,134,34304,3798.6764483999996,2195456
270.81,9.57,74.72,-1.78,585,0.010627399,0.1363322,2.1644938,-0.015090932,0.32468572,0.7944253385066986,135,34560,3826.6639886840003,2211840
262.47,9.8,74.29,-1.42,571,0.009965508,0.12426758,2.1704385,-0.016188659,0.3105462,0.842846155166626,136,34816,3855.3400387069996,2228224
268.01,11.34,75.39,-1.84,588,0.011391214,0.15545654,2.140526,-0.014068159,0.34514454,0.847397044301033,137,35072,3883.172889671001,2244608
281.22,11.35,82.38,-1.66,566,0.012567688,0.15983073,2.1301398,-0.012225713,0.37714425,0.7654401808977127,138,35328,3912.121049239,2260992
293.01,11.23,78.54,-2.23,588,0.010352041,0.1346639,2.1165268,-0.017247872,0.34171188,0.8408780246973038,139,35584,3939.975622113001,2277376
300.78,11.89,77.29,-1.04,565,0.012801457,0.16267903,2.113797,-0.013740118,0.35120884,0.8223499655723572,140,35840,3968.96048034,2293760
293.51,11.96,75.49,-1.94,587,0.010750197,0.14235432,2.0829353,-0.010472603,0.40371254,0.8338429480791092,141,36096,3996.8690398950002,2310144
301.3,13.45,80.18,-1.63,568,0.0069523696,0.082092285,2.0918932,-0.013096839,0.3863559,0.8381925672292709,142,36352,4025.6727219580007,2326528
326.63,14.79,74.95,-1.75,586,0.009369768,0.11728922,2.1067832,-0.011697239,0.37022218,0.8364260792732239,143,36608,4053.6273351279997,2342912
