eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.46,-0.2,78.65,-0.16,955,0.009744085,0.12221273,2.5262911,-0.018383577,0.07269078,0.3451228141784668,40,10240,692.925358679,655360
81.17,0.22,76.89,0.51,964,0.010626965,0.13395183,2.5131676,-0.019539984,0.059740636,0.27681779861450195,41,10496,709.9204327400003,671744
80.42,-0.01,78.6,0.0,961,0.01124763,0.1309611,2.5195255,-0.018583076,0.060484234,0.3018187880516052,42,10752,726.9706618599994,688128
79.71,-0.11,79.26,0.18,962,0.011385542,0.14746094,2.5184753,-0.017625893,0.0796047,0.22049206495285034,43,11008,743.9931804260013,704512
78.52,0.37,78.68,0.41,950,0.012210651,0.14589436,2.502148,-0.017335862,0.07360067,0.27206385135650635,44,11264,761.2393256229989,720896
77.38,0.07,81.64,0.26,938,0.011640728,0.14282227,2.5121503,-0.018618666,0.061353,0.2872190475463867,45,11520,778.7008755079987,737280
83.3,0.44,77.24,0.13,939,0.010994653,0.14512126,2.5192602,-0.016287677,0.055433188,0.2895948886871338,46,11776,796.138684305999,753664
78.1,0.13,84.21,0.48,948,0.012536772,0.16090901,2.5066333,-0.018880267,0.06940795,0.3350156545639038,47,12032,813.4079779890017,770048
82.59,0.29,76.84,0.48,943,0.011701132,0.13901775,2.502809,-0.020183282,0.061688676,0.24589604139328003,48,12288,830.7822314420009,786432
78.21,0.17,82.7,0.65,925,0.011077757,0.13889568,2.4900286,-0.020264046,0.0775231,0.286901593208313,49,12544,848.4904569280006,802816
78.0,0.19,79.76,0.43,940,0.013235456,0.1673991,2.4638097,-0.021412559,0.0816783,0.3646692633628845,50,12800,865.9088567489998,819200
82.18,0.39,80.98,0.77,962,0.011352773,0.14139812,2.526335,-0.01879872,0.07719719,0.222614586353302,51,13056,882.9244463979994,835584
79.01,0.33,76.06,0.43,956,0.012252699,0.15388997,2.508867,-0.020218898,0.062542886,0.3364940285682678,52,13312,900.0540568399992,851968
81.93,0.09,83.67,0.46,962,0.013170584,0.15917969,2.4922268,-0.018537616,0.070145234,0.25403517484664917,53,13568,917.0710089860004,868352
79.48,0.47,76.96,0.43,950,0.0124049485,0.15684001,2.4873984,-0.020112887,0.06861796,0.3108559846878052,54,13824,934.3033200089994,884736
84.09,0.71,75.72,0.56,935,0.011691659,0.14949544,2.4862027,-0.022288576,0.06356563,0.35199183225631714,55,14080,951.8211906510005,901120
83.15,0.2,79.9,0.63,946,0.0127753345,0.16526286,2.4579234,-0.022779584,0.091061264,0.27122390270233154,56,14336,969.1246537920015,917504
82.62,0.75,80.11,0.84,949,0.012161049,0.15608723,2.4784963,-0.021628069,0.062872775,0.2841663956642151,57,14592,986.385361274999,933888
82.52,0.17,80.43,0.59,947,0.013261759,0.16082764,2.4702454,-0.019933628,0.09423095,0.22459882497787476,58,14848,1003.6748984740007,950272
78.93,0.67,78.57,0.49,907,0.01240709,0.15209961,2.477023,-0.022508435,0.07420566,0.31070685386657715,59,15104,1021.7378418650005,966656
80.46,0.74,80.46,0.91,911,0.012228047,0.15240479,2.4618604,-0.023242151,0.075560294,0.34919673204421997,60,15360,1039.7201522200012,983040
86.8,0.82,79.03,1.03,921,0.013237003,0.16304524,2.4548786,-0.020499343,0.06861947,0.30718994140625,61,15616,1057.4993010100006,999424
77.16,0.17,85.62,1.1,948,0.013766439,0.15433757,2.4489927,-0.02105431,0.09640082,0.2645004987716675,62,15872,1074.769250354002,1015808
80.42,0.95,80.84,0.94,930,0.013874349,0.17388916,2.4165494,-0.01795137,0.07867759,0.38112491369247437,63,16128,1092.4345069769988,1032192
77.79,0.83,84.51,1.05,947,0.013118866,0.16501872,2.4045,-0.022959642,0.055268288,0.49226856231689453,64,16384,1109.732705106002,1048576
