eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
76.38,-0.6399999856948853,8335.0,0.0040258136577904224,0.03643798828125,2.318270444869995,-0.004497294779866934,0.062071993947029114,0.5764973163604736,204.0,52224.0,410.22869998500005,3342336.0
74.02,-0.5199999809265137,8163.0,0.004636209923774004,0.0452067069709301,2.3087148666381836,-0.006276593077927828,0.07344143092632294,0.5016255676746368,205.0,52480.0,412.23644912500004,3358720.0
76.52,-0.4099999964237213,8264.0,0.004486836027354002,0.03985595703125,2.304567575454712,-0.004900189582258463,0.08063552528619766,0.5782861113548279,206.0,52736.0,414.2198495529999,3375104.0
78.33,-0.8799999952316284,8164.0,0.004875966813415289,0.0473225899040699,2.311138868331909,-0.004905933979898691,0.08711815625429153,0.5520015358924866,207.0,52992.0,416.22736002400006,3391488.0
77.98,-0.75,8317.0,0.004455334506928921,0.0472208671271801,2.3478498458862305,-0.005601306911557913,0.06941510736942291,0.590846836566925,208.0,53248.0,418.19807595099996,3407872.0
74.58,-0.7900000214576721,8093.0,0.002851751632988453,0.0211181640625,2.3284170627593994,-0.004903252236545086,0.0781811997294426,0.472862184047699,209.0,53504.0,420.223180897,3424256.0
78.4,-0.5099999904632568,8419.0,0.003197251819074154,0.02583821676671505,2.310831308364868,-0.004895091988146305,0.07250913977622986,0.5603888034820557,210.0,53760.0,422.16992811299997,3440640.0
78.49,-1.0299999713897705,8072.0,0.004599208943545818,0.0438435859978199,2.312126398086548,-0.0060090008191764355,0.07507362216711044,0.6138456761837006,211.0,54016.0,424.20027462999997,3457024.0
83.38,-0.7699999809265137,8230.0,0.002934001386165619,0.01934814453125,2.3221850395202637,-0.005095083266496658,0.08967935293912888,0.5643180906772614,212.0,54272.0,426.19169521000003,3473408.0
78.81,-0.6499999761581421,8075.0,0.004678633529692888,0.04901123046875,2.3354547023773193,-0.006023455876857042,0.07528532296419144,0.5863508582115173,213.0,54528.0,428.22148947100004,3489792.0
74.42,-0.5,8183.0,0.0029042416717857122,0.0186767578125,2.319674015045166,-0.005057128146290779,0.07728349417448044,0.5497173964977264,214.0,54784.0,430.2247569809999,3506176.0
75.47,-0.699999988079071,8056.0,0.005226319655776024,0.0516153983771801,2.3250632286071777,-0.004703113809227943,0.0759226381778717,0.5694220662117004,215.0,55040.0,432.2591948029999,3522560.0
73.61,-0.6100000143051147,8117.0,0.004205859266221523,0.0311279296875,2.3324811458587646,-0.00612224405631423,0.07978510111570358,0.4998505115509033,216.0,55296.0,434.27848624600006,3538944.0
76.59,-0.8399999737739563,8080.0,0.004016438499093056,0.0371297188103199,2.3344967365264893,-0.005841901525855064,0.07154784351587296,0.5944274067878723,217.0,55552.0,436.306953024,3555328.0
80.47,-0.8899999856948853,8164.0,0.003085050731897354,0.02414957620203495,2.332780122756958,-0.0058748903684318066,0.07887165993452072,0.532484769821167,218.0,55808.0,438.31439641399993,3571712.0
79.5,-0.699999988079071,8194.0,0.0042257062159478664,0.0381673164665699,2.3282124996185303,-0.006024183239787817,0.07784310728311539,0.5402739942073822,219.0,56064.0,440.31465202999993,3588096.0
